"automated_textmining","coexpression","combined_score","database_annotated","experimentally_determined_interaction","gene_fusion","homology","interaction","name","neighborhood_on_chromosome","node1_string_id","node2_string_id","phylogenetic_cooccurrence","selected","shared interaction","shared name"
"0.344","0.197","0.451","0.0","0.0","0.0","0.0","interacts with","LUC7L (interacts with) RBM6","0.0","9606.ENSP00000293872","9606.ENSP00000266022","0.0","false","interacts with","LUC7L (interacts with) RBM6"
"0.326","0.349","0.542","0.0","0.0","0.0","0.0","interacts with","LUC7L (interacts with) RBM5","0.0","9606.ENSP00000293872","9606.ENSP00000343054","0.0","false","interacts with","LUC7L (interacts with) RBM5"
"0.125","0.0","0.452","0.4","0.0","0.0","0.0","interacts with","MAP3K14 (interacts with) PSMB1","0.0","9606.ENSP00000482657","9606.ENSP00000262193","0.0","false","interacts with","MAP3K14 (interacts with) PSMB1"
"0.258","0.056","0.619","0.5","0.0","0.0","0.0","interacts with","MAP3K14 (interacts with) TNFRSF12A","0.0","9606.ENSP00000482657","9606.ENSP00000326737","0.0","false","interacts with","MAP3K14 (interacts with) TNFRSF12A"
"0.774","0.0","0.774","0.0","0.0","0.0","0.0","interacts with","MPO (interacts with) PON1","0.0","9606.ENSP00000225275","9606.ENSP00000222381","0.0","false","interacts with","MPO (interacts with) PON1"
"0.412","0.055","0.428","0.0","0.053","0.003","0.0","interacts with","MPO (interacts with) NOX1","0.0","9606.ENSP00000225275","9606.ENSP00000362057","0.0","false","interacts with","MPO (interacts with) NOX1"
"0.501","0.0","0.515","0.0","0.068","0.0","0.0","interacts with","MPO (interacts with) NOS2","0.0","9606.ENSP00000225275","9606.ENSP00000327251","0.0","false","interacts with","MPO (interacts with) NOS2"
"0.743","0.0","0.743","0.0","0.0","0.0","0.0","interacts with","MPO (interacts with) SELE","0.0","9606.ENSP00000225275","9606.ENSP00000331736","0.0","false","interacts with","MPO (interacts with) SELE"
"0.142","0.049","0.48","0.0","0.414","0.0","0.0","interacts with","MSL3 (interacts with) PHTF2","0.0","9606.ENSP00000312244","9606.ENSP00000403042","0.0","false","interacts with","MSL3 (interacts with) PHTF2"
"0.0","0.054","0.596","0.0","0.591","0.0","0.0","interacts with","MYLIP (interacts with) PAF1","0.0","9606.ENSP00000349298","9606.ENSP00000221265","0.0","false","interacts with","MYLIP (interacts with) PAF1"
"0.318","0.058","0.651","0.5","0.0","0.0","0.0","interacts with","NDUFAB1 (interacts with) NDUFAF7","0.042","9606.ENSP00000458770","9606.ENSP00000002125","0.0","false","interacts with","NDUFAB1 (interacts with) NDUFAF7"
"0.192","0.119","0.461","0.0","0.304","0.0","0.0","interacts with","NDUFAB1 (interacts with) PDK2","0.0","9606.ENSP00000458770","9606.ENSP00000420927","0.0","false","interacts with","NDUFAB1 (interacts with) PDK2"
"0.35","0.063","0.656","0.0","0.48","0.0","0.0","interacts with","NDUFAB1 (interacts with) RPUSD1","0.042","9606.ENSP00000458770","9606.ENSP00000455026","0.0","false","interacts with","NDUFAB1 (interacts with) RPUSD1"
"0.338","0.254","0.509","0.0","0.087","0.0","0.0","interacts with","NFYA (interacts with) ZNF263","0.0","9606.ENSP00000345702","9606.ENSP00000219069","0.0","false","interacts with","NFYA (interacts with) ZNF263"
"0.39","0.065","0.405","0.0","0.0","0.0","0.0","interacts with","NOS2 (interacts with) NOX1","0.0","9606.ENSP00000327251","9606.ENSP00000362057","0.0","false","interacts with","NOS2 (interacts with) NOX1"
"0.453","0.08","0.476","0.0","0.0","0.0","0.0","interacts with","NOS2 (interacts with) SELE","0.0","9606.ENSP00000327251","9606.ENSP00000331736","0.0","false","interacts with","NOS2 (interacts with) SELE"
"0.64","0.0","0.64","0.0","0.0","0.0","0.0","interacts with","NOX1 (interacts with) POLDIP2","0.0","9606.ENSP00000362057","9606.ENSP00000475924","0.0","false","interacts with","NOX1 (interacts with) POLDIP2"
"0.0","0.058","0.876","0.0","0.874","0.0","0.0","interacts with","PAF1 (interacts with) POLR2J","0.0","9606.ENSP00000221265","9606.ENSP00000292614","0.0","false","interacts with","PAF1 (interacts with) POLR2J"
"0.341","0.111","0.405","0.0","0.065","0.0","0.0","interacts with","PAX6 (interacts with) SOX8","0.0","9606.ENSP00000492024","9606.ENSP00000293894","0.0","false","interacts with","PAX6 (interacts with) SOX8"
"0.505","0.074","0.522","0.0","0.0","0.0","0.0","interacts with","PAX6 (interacts with) SYN1","0.0","9606.ENSP00000492024","9606.ENSP00000295987","0.0","false","interacts with","PAX6 (interacts with) SYN1"
"0.477","0.0","0.477","0.0","0.0","0.0","0.0","interacts with","PAX6 (interacts with) PROM1","0.0","9606.ENSP00000492024","9606.ENSP00000426809","0.0","false","interacts with","PAX6 (interacts with) PROM1"
"0.064","0.048","0.795","0.0","0.785","0.0","0.969","interacts with","PDK2 (interacts with) PDK4","0.0","9606.ENSP00000420927","9606.ENSP00000005178","0.056","false","interacts with","PDK2 (interacts with) PDK4"
"0.673","0.074","0.732","0.0","0.186","0.0","0.0","interacts with","PLXND1 (interacts with) SEMA3F","0.0","9606.ENSP00000317128","9606.ENSP00000002829","0.0","false","interacts with","PLXND1 (interacts with) SEMA3F"
"0.818","0.055","0.936","0.0","0.663","0.0","0.0","interacts with","POLR2J (interacts with) RPAP3","0.0","9606.ENSP00000292614","9606.ENSP00000005386","0.0","false","interacts with","POLR2J (interacts with) RPAP3"
"0.392","0.098","0.428","0.0","0.0","0.0","0.0","interacts with","POLR2J (interacts with) UPF1","0.0","9606.ENSP00000292614","9606.ENSP00000470142","0.0","false","interacts with","POLR2J (interacts with) UPF1"
"0.507","0.042","0.507","0.0","0.0","0.0","0.0","interacts with","PON1 (interacts with) SCIN","0.0","9606.ENSP00000222381","9606.ENSP00000297029","0.0","false","interacts with","PON1 (interacts with) SCIN"
"0.091","0.0","0.431","0.4","0.0","0.0","0.0","interacts with","PSMB1 (interacts with) TNFRSF12A","0.0","9606.ENSP00000262193","9606.ENSP00000326737","0.0","false","interacts with","PSMB1 (interacts with) TNFRSF12A"
"0.645","0.042","0.645","0.0","0.0","0.0","0.0","interacts with","RAD52 (interacts with) RECQL","0.0","9606.ENSP00000351284","9606.ENSP00000416739","0.0","false","interacts with","RAD52 (interacts with) RECQL"
"0.315","0.356","0.54","0.0","0.0","0.0","0.711","interacts with","RBM5 (interacts with) RBM6","0.0","9606.ENSP00000343054","9606.ENSP00000266022","0.0","false","interacts with","RBM5 (interacts with) RBM6"
"0.666","0.0","0.666","0.0","0.0","0.0","0.0","interacts with","RHBDD2 (interacts with) RHBDF1","0.0","9606.ENSP00000006777","9606.ENSP00000262316","0.0","false","interacts with","RHBDD2 (interacts with) RHBDF1"
"0.435","0.0","0.437","0.0","0.046","0.0","0.0","interacts with","SELE (interacts with) TFPI","0.0","9606.ENSP00000331736","9606.ENSP00000233156","0.0","false","interacts with","SELE (interacts with) TFPI"
"0.477","0.042","0.477","0.0","0.0","0.0","0.0","interacts with","SELE (interacts with) TNFRSF12A","0.0","9606.ENSP00000331736","9606.ENSP00000326737","0.0","false","interacts with","SELE (interacts with) TNFRSF12A"
"0.496","0.062","0.507","0.0","0.0","0.0","0.686","interacts with","SLC25A13 (interacts with) SLC25A5","0.0","9606.ENSP00000400101","9606.ENSP00000360671","0.0","false","interacts with","SLC25A13 (interacts with) SLC25A5"
"0.188","0.049","0.58","0.5","0.0","0.0","0.0","interacts with","SYN1 (interacts with) TSPOAP1","0.0","9606.ENSP00000295987","9606.ENSP00000345824","0.0","false","interacts with","SYN1 (interacts with) TSPOAP1"
"0.495","0.042","0.496","0.0","0.0","0.0","0.0","interacts with","TMEM176A (interacts with) TMEM98","0.0","9606.ENSP00000417626","9606.ENSP00000463245","0.0","false","interacts with","TMEM176A (interacts with) TMEM98"
